crop_name,scientific_name,season,min_temp_C,max_temp_C,min_pH,max_pH,soil_type,water_req_mm_day,rainfall_min_mm,rainfall_max_mm,moisture_min_percent,moisture_max_percent,SOC_percent,N_kg_per_ha,P_kg_per_ha,K_kg_per_ha,crop_type,growth_duration_days
Rice,Oryza sativa,Kharif,20,35,5.5,7.0,Clay_Loam,9.5,1000,2500,60,90,0.8,120,60,60,Cereal,120
Wheat,Triticum aestivum,Rabi,10,25,6.0,7.5,Loamy,4.5,400,1000,50,70,0.6,120,60,40,Cereal,120
Maize,Zea mays,Kharif,18,27,5.5,7.5,Sandy_Loam,5.0,500,800,55,75,0.5,120,60,40,Cereal,90
Bajra,Pennisetum glaucum,Kharif,20,32,6.5,8.0,Sandy,3.0,300,600,35,55,0.4,80,40,30,Cereal,70
Jowar,Sorghum bicolor,Kharif,25,32,6.0,7.5,Black_Soil,3.5,400,1000,40,60,0.5,80,40,40,Cereal,100
Ragi,Eleusine coracana,Kharif,20,30,5.0,8.0,Red_Loam,3.0,500,1000,50,70,0.4,60,30,30,Cereal,120
Barley,Hordeum vulgare,Rabi,12,25,6.0,8.0,Saline_Loam,3.5,200,800,45,65,0.5,80,40,30,Cereal,110
Chickpea,Cicer arietinum,Rabi,15,25,6.0,8.0,Black_Loamy,3.0,300,500,40,60,0.5,20,50,30,Pulse,120
Pigeon_Pea,Cajanus cajan,Kharif,25,35,5.0,7.0,Sandy_Loam,4.0,600,1000,50,70,0.5,25,50,35,Pulse,150
Moong,Vigna radiata,Zaid,25,35,6.0,7.5,Loamy,3.5,600,900,55,75,0.5,20,40,30,Pulse,60
Urad,Vigna mungo,Kharif,25,35,6.0,7.5,Clay_Loam,3.5,600,1000,60,80,0.5,20,45,30,Pulse,70
Masoor,Lens culinaris,Rabi,15,25,6.0,7.5,Loamy,3.0,300,500,50,70,0.5,20,50,30,Pulse,120
Arhar,Cajanus cajan,Kharif,20,35,6.0,7.5,Red_Loamy,4.0,600,1000,55,75,0.5,25,50,35,Pulse,180
Kidney_Bean,Phaseolus vulgaris,Rabi,15,25,5.5,6.5,Well_Drained_Loamy,4.0,400,700,50,70,0.6,40,60,40,Pulse,90
Horse_Gram,Macrotyloma uniflorum,Kharif,25,35,6.0,7.5,Red_Sandy,3.0,400,600,40,60,0.4,20,40,30,Pulse,120
Moth_Bean,Vigna aconitifolia,Kharif,28,38,7.0,8.5,Sandy_Loam,2.5,300,500,35,55,0.4,20,30,25,Pulse,75
Field_Pea,Pisum sativum,Rabi,10,25,6.0,7.5,Silt_Loam,3.5,400,600,50,70,0.6,30,60,35,Pulse,100
Lentil,Lens culinaris,Rabi,18,28,6.0,7.5,Loamy,3.0,300,500,50,70,0.5,20,50,30,Pulse,110
Sugarcane,Saccharum officinarum,Perennial,20,35,6.5,7.5,Alluvial,15.0,1500,2500,70,90,1.0,250,120,120,Cash,300
Cotton,Gossypium hirsutum,Kharif,21,30,6.0,8.0,Black_Cotton_Soil,7.0,500,1000,50,70,0.6,120,60,60,Cash,150
Jute,Corchorus olitorius,Kharif,25,35,6.0,7.5,Alluvial_Loamy,8.0,1200,2000,70,90,0.7,60,30,40,Fiber,120
Tea,Camellia sinensis,Perennial,15,30,4.5,5.5,Laterite,8.0,1500,3000,75,90,1.5,120,40,80,Plantation,365
Coffee,Coffea arabica,Perennial,18,28,5.0,6.5,Forest_Loam,7.0,1500,2500,70,85,1.5,100,60,100,Plantation,365
Rubber,Hevea brasiliensis,Perennial,20,35,4.5,6.0,Laterite,8.0,2000,3000,80,95,1.2,70,30,60,Plantation,365
Coconut,Cocos nucifera,Perennial,25,30,5.0,8.0,Coastal_Sandy,6.0,1000,3000,70,85,0.8,50,32,120,Plantation,365
Groundnut,Arachis hypogaea,Kharif,20,30,6.0,7.5,Red_Sandy_Loam,4.5,500,1000,50,70,0.5,25,50,75,Oilseed,110
Soybean,Glycine max,Kharif,20,30,6.0,7.5,Clay_Loam,5.5,600,1000,60,80,0.7,25,60,70,Oilseed,90
Mustard,Brassica juncea,Rabi,10,25,6.0,7.5,Loamy,3.5,200,400,50,70,0.6,80,50,40,Oilseed,110
Sunflower,Helianthus annuus,Kharif_Rabi,20,25,6.0,7.5,Black_Soil,5.0,500,1200,50,70,0.5,80,60,80,Oilseed,90
Safflower,Carthamus tinctorius,Rabi,15,25,6.5,7.5,Loamy,4.0,400,600,45,65,0.5,60,50,50,Oilseed,120
Sesame,Sesamum indicum,Kharif,25,35,5.5,8.0,Sandy_Loam,3.0,400,600,45,65,0.4,40,50,60,Oilseed,85
Linseed,Linum usitatissimum,Rabi,15,25,6.0,7.5,Loamy,3.5,400,600,50,70,0.5,50,40,40,Oilseed,120
Niger,Guizotia abyssinica,Kharif,20,30,5.5,7.0,Loamy,4.5,800,1200,60,80,0.6,40,50,50,Oilseed,110
Castor,Ricinus communis,Kharif,20,35,5.5,7.5,Well_Drained,4.0,400,700,45,65,0.5,50,50,60,Oilseed,150
Tobacco,Nicotiana tabacum,Rabi,15,27,5.5,7.0,Red_Loam,5.0,500,1000,60,75,0.6,100,60,120,Cash,120
Potato,Solanum tuberosum,Rabi,15,25,5.0,6.5,Sandy_Loam,4.5,300,600,70,85,0.8,150,80,120,Vegetable,90
Tomato,Solanum lycopersicum,Rabi,18,27,6.0,7.0,Loamy,5.0,400,800,65,80,0.8,100,60,120,Vegetable,90
Onion,Allium cepa,Rabi,15,25,6.0,7.5,Loamy,4.0,300,600,60,75,0.6,100,50,100,Vegetable,120
Cabbage,Brassica oleracea,Rabi,15,20,6.0,7.0,Clay_Loam,4.0,300,500,70,85,0.8,120,60,90,Vegetable,90
Cauliflower,Brassica oleracea botrytis,Rabi,15,25,6.0,7.0,Loamy,4.0,300,500,70,85,0.8,120,60,90,Vegetable,75
Brinjal,Solanum melongena,Kharif,20,30,5.5,6.5,Silt_Loam,5.0,500,1000,65,80,0.7,100,60,100,Vegetable,120
Chilli,Capsicum annuum,Kharif,20,30,6.0,7.0,Black_Soil,5.0,600,1200,60,75,0.6,100,50,100,Vegetable,150
Okra,Abelmoschus esculentus,Zaid,22,35,6.0,6.8,Sandy_Loam,4.5,500,1000,60,75,0.6,80,50,80,Vegetable,60
Carrot,Daucus carota,Rabi,15,25,5.8,7.0,Sandy_Loam,4.0,400,600,65,80,0.6,80,50,100,Vegetable,90
Radish,Raphanus sativus,Rabi,18,28,6.0,7.0,Sandy_Loam,3.5,300,500,65,80,0.6,80,40,80,Vegetable,45
Pumpkin,Cucurbita maxima,Kharif,20,32,6.0,7.0,Loamy,5.0,500,800,65,80,0.7,80,60,100,Vegetable,90
Bottle_Gourd,Lagenaria siceraria,Kharif,24,30,6.0,7.0,Loamy,5.5,600,900,70,85,0.7,80,50,80,Vegetable,60
Bitter_Gourd,Momordica charantia,Zaid,24,35,6.0,7.0,Loamy,5.0,500,900,65,80,0.6,80,60,100,Vegetable,55
Ridge_Gourd,Luffa acutangula,Kharif,25,35,6.0,7.0,Loamy,5.0,600,900,65,80,0.6,80,50,80,Vegetable,65
Cucumber,Cucumis sativus,Zaid,18,30,6.0,7.0,Sandy_Loam,4.5,400,700,65,80,0.6,80,50,75,Vegetable,50
Watermelon,Citrullus lanatus,Zaid,24,35,6.0,7.0,Sandy_Loam,5.0,400,700,60,75,0.6,80,60,100,Vegetable,90
Muskmelon,Cucumis melo,Zaid,25,35,6.5,7.5,Sandy_Loam,4.5,350,600,60,75,0.6,80,50,100,Vegetable,90
Sweet_Potato,Ipomoea batatas,Kharif,20,30,5.5,6.5,Sandy_Loam,4.5,600,900,65,80,0.7,60,50,100,Vegetable,110
Ginger,Zingiber officinale,Kharif,20,30,5.5,6.5,Laterite,5.5,1200,2500,75,90,1.0,100,50,150,Spice,240
Turmeric,Curcuma longa,Kharif,20,35,5.5,7.5,Red_Loam,5.5,1000,2000,75,90,0.8,120,60,120,Spice,240
Garlic,Allium sativum,Rabi,12,25,6.0,7.5,Loamy,4.0,400,800,60,75,0.6,100,50,80,Spice,150
Coriander,Coriandrum sativum,Rabi,15,25,6.0,7.5,Black_Soil,3.5,300,500,55,70,0.5,60,40,50,Spice,90
Cumin,Cuminum cyminum,Rabi,15,25,7.0,8.5,Sandy_Loam,2.5,200,400,45,65,0.4,40,40,50,Spice,120
Fenugreek,Trigonella foenum,Rabi,15,25,6.0,7.0,Loamy,3.5,300,500,55,70,0.5,50,40,40,Spice,90
Black_Pepper,Piper nigrum,Perennial,20,35,5.0,6.5,Laterite,6.0,1500,3000,75,90,1.5,100,50,100,Spice,365
Cardamom,Elettaria cardamomum,Perennial,15,25,5.0,6.5,Forest_Loam,6.0,1500,3500,75,90,2.0,80,60,120,Spice,365
Mango,Mangifera indica,Perennial,24,30,5.5,7.5,Alluvial,6.0,700,2500,60,75,0.8,100,50,100,Fruit,365
Banana,Musa acuminata,Perennial,25,30,6.0,7.5,Alluvial,8.0,1500,2500,75,90,1.0,200,80,300,Fruit,300
Papaya,Carica papaya,Perennial,22,30,6.0,7.0,Sandy_Loam,6.5,1000,2000,70,85,0.8,150,100,200,Fruit,365
Guava,Psidium guajava,Perennial,20,30,6.0,7.5,Alluvial,4.0,500,1000,65,80,0.6,200,100,150,Fruit,365
Apple,Malus domestica,Perennial,10,20,5.5,6.5,Loamy,4.5,800,1200,60,75,1.0,150,80,100,Fruit,365
Grapes,Vitis vinifera,Perennial,15,35,6.5,8.0,Sandy_Loam,5.0,500,900,60,75,0.6,120,80,160,Fruit,365
Orange,Citrus reticulata,Perennial,15,35,6.0,7.5,Sandy_Loam,5.0,600,1200,65,80,0.6,150,80,120,Fruit,365
Pomegranate,Punica granatum,Perennial,25,35,6.5,8.0,Sandy_Loam,4.0,400,700,50,70,0.5,100,50,100,Fruit,365
Sapota,Manilkara zapota,Perennial,10,40,6.0,8.0,Sandy_Loam,5.0,800,1500,70,85,0.7,200,100,150,Fruit,365
Cashew,Anacardium occidentale,Perennial,20,35,5.0,7.0,Red_Sandy,4.0,600,2000,70,85,0.5,100,50,100,Nut,365
Arecanut,Areca catechu,Perennial,20,35,5.5,7.0,Loamy,7.0,2000,3000,75,90,1.0,150,80,150,Nut,365
Almond,Prunus dulcis,Perennial,15,30,6.0,7.5,Loamy,4.5,500,900,55,70,0.6,150,80,120,Nut,365
Walnut,Juglans regia,Perennial,10,25,6.0,7.5,Loamy,5.0,700,1200,60,75,0.8,150,80,100,Nut,365
Pineapple,Ananas comosus,Perennial,20,30,4.5,6.0,Laterite,5.5,1000,2500,70,85,1.0,120,80,200,Fruit,18
Litchi,Litchi chinensis,Perennial,20,35,5.5,7.0,Well_Drained_Loamy,6.0,1000,1800,70,85,0.8,150,80,120,Fruit,365
Jackfruit,Artocarpus heterophyllus,Perennial,20,35,6.0,7.5,Loamy,6.0,1200,2000,70,85,1.0,200,100,150,Fruit,365
Custard_Apple,Annona squamosa,Perennial,20,40,6.0,7.5,Sandy_Loam,4.5,600,1000,60,75,0.6,100,60,100,Fruit,365
Dragon_Fruit,Hylocereus undatus,Perennial,20,40,6.0,7.5,Sandy_Loam,3.5,300,600,50,70,0.6,80,60,100,Fruit,365
Strawberry,Fragaria ananassa,Rabi,15,25,5.5,6.5,Sandy_Loam,4.0,700,1200,70,85,1.0,120,80,120,Fruit,150
Pearl_Millet,Pennisetum glaucum,Kharif,25,35,6.5,8.0,Sandy,3.0,300,600,35,55,0.4,60,30,25,Cereal,75
Foxtail_Millet,Setaria italica,Kharif,20,30,5.5,7.5,Loamy,3.0,400,700,45,65,0.5,50,30,25,Cereal,70
Kodo_Millet,Paspalum scrobiculatum,Kharif,20,30,5.0,7.0,Red_Loamy,3.0,400,700,50,70,0.5,40,30,25,Cereal,90
Little_Millet,Panicum sumatrense,Kharif,20,30,5.5,7.0,Red_Loamy,3.0,400,750,50,70,0.5,40,30,25,Cereal,90
Proso_Millet,Panicum miliaceum,Kharif,18,28,6.0,7.5,Loamy,2.8,350,600,45,65,0.5,40,30,25,Cereal,70
Barnyard_Millet,Echinochloa esculenta,Kharif,20,30,6.0,7.5,Loamy,3.0,400,700,50,70,0.5,40,30,25,Cereal,60
Oats,Avena sativa,Rabi,10,25,6.0,7.5,Loamy,4.0,500,900,50,70,0.6,80,50,40,Cereal,120
Buckwheat,Fagopyrum esculentum,Rabi,15,25,5.5,7.0,Loamy,3.5,400,700,50,70,0.5,60,40,40,Cereal,90
Sorghum,Sorghum bicolor,Kharif,26,33,6.0,8.0,Sandy_Loam,3.5,400,1000,40,60,0.5,80,40,30,Cereal,100
Spinach,Spinacia oleracea,Rabi,15,25,6.0,7.0,Loamy,3.5,350,600,65,80,0.7,100,50,80,Vegetable,45
Beetroot,Beta vulgaris,Rabi,15,25,6.0,7.5,Loamy,4.0,400,700,65,80,0.7,100,60,100,Vegetable,90
Turnip,Brassica rapa,Rabi,15,25,6.0,7.0,Loamy,3.5,400,650,65,80,0.6,80,50,80,Vegetable,60
Lettuce,Lactuca sativa,Rabi,15,25,6.0,7.0,Sandy_Loam,4.0,400,700,70,85,0.7,100,50,80,Vegetable,60
Green_Pea,Pisum sativum,Rabi,12,25,6.0,7.5,Loamy,3.5,400,600,60,75,0.6,30,60,60,Vegetable,90
French_Bean,Phaseolus vulgaris,Kharif_Rabi,15,30,6.0,7.0,Loamy,4.5,500,900,65,80,0.7,40,60,80,Vegetable,60
Cluster_Bean,Cyamopsis tetragonoloba,Kharif,25,35,7.0,8.5,Sandy_Loam,3.0,350,600,55,75,0.5,25,50,60,Vegetable,75
